Index,UTC,relPosN,relPosE,CoG
736,14:10:31.875 02/25/2019,-2.0787,4.1002,105.33
737,14:10:32.000 02/25/2019,-2.0688,4.1202,105.33
738,14:10:32.125 02/25/2019,-2.0687,4.1102,105.33
739,14:10:32.250 02/25/2019,-2.0588,4.1202,105.33
740,14:10:32.375 02/25/2019,-2.0488,4.1102,105.33
741,14:10:32.500 02/25/2019,-2.0685,4.1402,105.33
742,14:10:32.625 02/25/2019,-2.0684,4.1502,105.33
743,14:10:32.750 02/25/2019,-2.0684,4.1502,105.33
744,14:10:32.875 02/25/2019,-2.0683,4.1502,105.33
745,14:10:33.000 02/25/2019,-2.0782,4.1702,105.33
746,14:10:33.125 02/25/2019,-2.0682,4.1602,105.33
747,14:10:33.250 02/25/2019,-2.0781,4.1602,105.33
748,14:10:33.375 02/25/2019,-2.0582,4.1602,105.33
749,14:10:33.500 02/25/2019,-2.0581,4.1602,105.33
750,14:10:33.625 02/25/2019,-2.0582,4.1502,105.33
751,14:10:33.750 02/25/2019,-2.0681,4.1602,105.33
752,14:10:33.875 02/25/2019,-2.0581,4.1502,105.33
753,14:10:34.000 02/25/2019,-2.0680,4.1602,105.33
754,14:10:34.125 02/25/2019,-2.0580,4.1602,105.33
755,14:10:34.250 02/25/2019,-2.0581,4.1502,105.33
756,14:10:34.375 02/25/2019,-2.0580,4.1502,105.33
757,14:10:34.500 02/25/2019,-2.0580,4.1702,105.33
758,14:10:34.625 02/25/2019,-2.0481,4.1302,105.33
759,14:10:34.750 02/25/2019,-2.0481,4.1402,105.33
760,14:10:34.875 02/25/2019,-2.0481,4.1302,105.33
761,14:10:35.000 02/25/2019,-2.0481,4.1302,105.33
762,14:10:35.125 02/25/2019,-2.0381,4.1202,105.33
763,14:10:35.250 02/25/2019,-2.0381,4.1202,105.33
764,14:10:35.375 02/25/2019,-2.0282,4.0902,105.33
765,14:10:35.500 02/25/2019,-2.0282,4.0902,105.33
766,14:10:35.625 02/25/2019,-2.0281,4.1002,105.33
767,14:10:35.750 02/25/2019,-2.0281,4.1002,105.33
768,14:10:35.875 02/25/2019,-2.0281,4.0902,105.33
769,14:10:36.000 02/25/2019,-2.0182,4.0702,105.33
770,14:10:36.125 02/25/2019,-2.0182,4.0802,105.33
771,14:10:36.250 02/25/2019,-2.0180,4.0902,105.33
772,14:10:36.375 02/25/2019,-2.0081,4.0702,105.33
773,14:10:36.500 02/25/2019,-2.0180,4.0802,105.33
774,14:10:36.625 02/25/2019,-2.0079,4.0902,105.33
775,14:10:36.750 02/25/2019,-2.0079,4.0802,105.33
776,14:10:36.875 02/25/2019,-2.0178,4.0902,105.33
777,14:10:37.000 02/25/2019,-1.9978,4.0602,105.33
778,14:10:37.125 02/25/2019,-1.9878,4.0902,105.33
779,14:10:37.250 02/25/2019,-1.9977,4.0802,105.33
780,14:10:37.375 02/25/2019,-1.9976,4.0802,105.33
781,14:10:37.500 02/25/2019,-1.9975,4.0902,105.33
782,14:10:37.625 02/25/2019,-2.0075,4.0902,105.33
783,14:10:37.750 02/25/2019,-1.9975,4.0902,105.33
784,14:10:37.875 02/25/2019,-1.9974,4.1002,105.33
785,14:10:38.000 02/25/2019,-2.0228,4.1102,105.33
786,14:10:38.125 02/25/2019,-2.0325,4.1502,105.33
787,14:10:38.250 02/25/2019,-2.0128,4.1102,105.33
788,14:10:38.375 02/25/2019,-2.0324,4.1402,105.33
789,14:10:38.500 02/25/2019,-2.0421,4.1702,105.33
790,14:10:38.625 02/25/2019,-2.0614,4.2002,105.33
791,14:10:38.750 02/25/2019,-2.0712,4.2002,105.33
792,14:10:38.875 02/25/2019,-2.0709,4.2302,105.33
793,14:10:39.000 02/25/2019,-2.0806,4.2402,105.33
794,14:10:39.125 02/25/2019,-2.0804,4.2602,105.33
795,14:10:39.250 02/25/2019,-2.0802,4.2502,105.33
796,14:10:39.375 02/25/2019,-2.0701,4.2402,105.33
797,14:10:39.500 02/25/2019,-2.0697,4.2602,105.33
798,14:10:39.625 02/25/2019,-2.0697,4.2502,105.33
799,14:10:39.750 02/25/2019,-2.0696,4.2702,105.33
800,14:10:39.875 02/25/2019,-2.0693,4.2602,105.33
801,14:10:40.000 02/25/2019,-2.0595,4.2702,105.33
802,14:10:40.125 02/25/2019,-2.0693,4.2502,105.33
803,14:10:40.250 02/25/2019,-2.0691,4.2802,105.33
804,14:10:40.375 02/25/2019,-2.0489,4.2402,105.33
805,14:10:40.500 02/25/2019,-2.0388,4.2302,105.33
806,14:10:40.625 02/25/2019,-2.0284,4.2202,105.33
807,14:10:40.750 02/25/2019,-2.0083,4.2102,105.33
808,14:10:40.875 02/25/2019,-1.9982,4.1802,105.33
809,14:10:41.000 02/25/2019,-1.9879,4.1902,105.33
810,14:10:41.125 02/25/2019,-1.9879,4.1802,105.33
811,14:10:41.250 02/25/2019,-1.9878,4.1902,105.33
812,14:10:41.375 02/25/2019,-1.9876,4.2002,105.33
813,14:10:41.500 02/25/2019,-1.9877,4.1902,105.33
814,14:10:41.625 02/25/2019,-1.9877,4.1902,105.33
815,14:10:41.750 02/25/2019,-1.9775,4.2102,105.33
816,14:10:41.875 02/25/2019,-1.9775,4.2102,105.33
817,14:10:42.000 02/25/2019,-1.9774,4.2002,105.33
818,14:10:42.125 02/25/2019,-1.9774,4.2002,105.33
819,14:10:42.250 02/25/2019,-1.9773,4.2102,105.33
820,14:10:42.375 02/25/2019,-1.9772,4.2002,105.33
